"alphat","p","T","Un:0","Un:1","Un:2","U:0","U:1","U:2","Us:0","Us:1","Us:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-2.0621191652026e-05,2.000497341156,0,2.422630845933e-11,0,-0.029587358236313,0,0,-0.080474816262722,-4.1666937261597e-11,0,1,0,0.0074999998323619,0,4.9999998736894e-05
0,-2.062120984192e-05,2.000497341156,0.0007090293802321,-1.2125316288802e-06,0,-0.028878329321742,-1.1937839872189e-06,0,-0.079765789210796,-1.161539671557e-06,0,1,5.0000003284367e-06,0.0074999998323619,5.0000003284367e-06,4.9999998736894e-05
0,-2.0621228031814e-05,2.000497341156,0.0014180587604642,-2.4250875867438e-06,0,-0.028169300407171,-2.3875679744378e-06,0,-0.07905675470829,-2.3230377337313e-06,0,1,1.0000000656873e-05,0.0074999998323619,1.0000000656873e-05,4.9999998736894e-05
0,-2.0621246221708e-05,2.000497341156,0.0021270881406963,-3.6376432035468e-06,0,-0.027460269629955,-3.5813516205963e-06,0,-0.078347727656364,-3.4845354548452e-06,0,1,1.5000000530563e-05,0.0074999998323619,1.5000000530563e-05,4.9999998736894e-05
0,-2.0621264411602e-05,2.000497341156,0.0028361175209284,-4.8501992750971e-06,0,-0.026751240715384,-4.7751359488757e-06,0,-0.077638700604439,-4.6460336307064e-06,0,1,2.0000001313747e-05,0.0074999998323619,2.0000001313747e-05,4.9999998736894e-05
0,-2.0621282601496e-05,2.000497341156,0.0035451469011605,-6.0627548919001e-06,0,-0.026042211800814,-5.9689195950341e-06,0,-0.076929666101933,-5.8075315791939e-06,0,1,2.5000001187436e-05,0.0074999998323619,2.5000001187436e-05,4.9999998736894e-05
0,-2.0621298972401e-05,2.000497341156,0.0042541762813926,-7.2753109634505e-06,0,-0.025333182886243,-7.1627032411925e-06,0,-0.076220639050007,-6.9690295276814e-06,0,1,3.0000001061126e-05,0.0074999998323619,3.0000001061126e-05,4.9999998736894e-05
0,-2.0621317162295e-05,2.000497341156,0.0049632056616247,-8.4878665802535e-06,0,-0.024624152109027,-8.3564873420983e-06,0,-0.075511611998081,-8.1305270214216e-06,0,1,3.5000000934815e-05,0.0074999998323619,3.5000000934815e-05,4.9999998736894e-05
0,-2.0621335352189e-05,2.000497341156,0.0056722350418568,-9.7004231065512e-06,0,-0.023915123194456,-9.5502718977514e-06,0,-0.074802584946156,-9.2920254246565e-06,0,1,4.0000002627494e-05,0.0074999998323619,4.0000002627494e-05,4.9999998736894e-05
0,-2.0621353542083e-05,2.000497341156,0.0063812644220889,-1.0912977813859e-05,0,-0.023206094279885,-1.0744054634415e-05,0,-0.074093550443649,-1.0453522918397e-05,0,1,4.5000000682194e-05,0.0074999998323619,4.5000000682194e-05,4.9999998736894e-05
